date,season,round,away,home,away_1p,home_1p,total_1p,u2.5_hit,game_id
2021-05-15,2020-21,1,BOS,WSH,1,1,2,1,2020030121
2021-05-16,2020-21,1,NYI,PIT,1,1,2,1,2020030111
2021-05-16,2020-21,1,TBL,FLA,1,2,3,0,2020030141
2021-05-16,2020-21,1,MIN,VGK,0,0,0,1,2020030161
2021-05-17,2020-21,1,BOS,WSH,2,2,4,0,2020030122
2021-05-17,2020-21,1,NSH,CAR,1,1,2,1,2020030131
2021-05-17,2020-21,1,STL,COL,0,1,1,1,2020030151
2021-05-18,2020-21,1,NYI,PIT,0,2,2,1,2020030112
2021-05-18,2020-21,1,TBL,FLA,2,0,2,1,2020030142
2021-05-18,2020-21,1,MIN,VGK,0,0,0,1,2020030162
2021-05-19,2020-21,1,WSH,BOS,0,0,0,1,2020030123
2021-05-19,2020-21,1,NSH,CAR,0,1,1,1,2020030132
2021-05-19,2020-21,1,STL,COL,0,2,2,1,2020030152
2021-05-19,2020-21,1,WPG,EDM,0,0,0,1,2020030181
2021-05-20,2020-21,1,PIT,NYI,1,0,1,1,2020030113
2021-05-20,2020-21,1,FLA,TBL,2,0,2,1,2020030143
2021-05-20,2020-21,1,VGK,MIN,0,2,2,1,2020030163
2021-05-20,2020-21,1,MTL,TOR,1,0,1,1,2020030171
2021-05-21,2020-21,1,WSH,BOS,0,0,0,1,2020030124
2021-05-21,2020-21,1,CAR,NSH,1,2,3,0,2020030133
2021-05-21,2020-21,1,COL,STL,0,0,0,1,2020030153
2021-05-21,2020-21,1,WPG,EDM,0,0,0,1,2020030182
2021-05-22,2020-21,1,PIT,NYI,0,0,0,1,2020030114
2021-05-22,2020-21,1,FLA,TBL,1,3,4,0,2020030144
2021-05-22,2020-21,1,VGK,MIN,1,0,1,1,2020030164
2021-05-22,2020-21,1,MTL,TOR,1,1,2,1,2020030172
2021-05-23,2020-21,1,BOS,WSH,0,0,0,1,2020030125
2021-05-23,2020-21,1,CAR,NSH,1,1,2,1,2020030134
2021-05-23,2020-21,1,COL,STL,0,0,0,1,2020030154
2021-05-23,2020-21,1,EDM,WPG,2,0,2,1,2020030183
2021-05-24,2020-21,1,NYI,PIT,1,1,2,1,2020030115
2021-05-24,2020-21,1,TBL,FLA,1,0,1,1,2020030145
2021-05-24,2020-21,1,MIN,VGK,3,1,4,0,2020030165
2021-05-24,2020-21,1,TOR,MTL,0,0,0,1,2020030173
