season,team,goalie,starts,share
2023-2024,BOS,Linus Ullmark,1,0.077
2023-2024,BOS,Jeremy Swayman,12,0.923
2023-2024,FLA,Sergei Bobrovsky,24,1.0
2023-2024,NYR,Igor Shesterkin,16,1.0
2023-2024,CAR,Frederik Andersen,10,0.909
2023-2024,CAR,Pyotr Kochetkov,1,0.091
2023-2024,TOR,Ilya Samsonov,5,0.714
2023-2024,TOR,Joseph Woll,2,0.286
2023-2024,TBL,Andrei Vasilevskiy,5,1.0
2023-2024,NYI,Semyon Varlamov,4,0.8
2023-2024,NYI,Ilya Sorokin,1,0.2
2023-2024,WSH,Charlie Lindgren,4,1.0
2023-2024,DAL,Jake Oettinger,19,1.0
2023-2024,COL,Alexandar Georgiev,11,1.0
2023-2024,WPG,Connor Hellebuyck,5,1.0
2023-2024,EDM,Calvin Pickard,2,0.08
2023-2024,EDM,Stuart Skinner,23,0.92
2023-2024,NSH,Juuse Saros,6,1.0
2023-2024,VAN,Thatcher Demko,1,0.077
2023-2024,VAN,Casey DeSmith,2,0.154
2023-2024,VAN,Arturs Silovs,10,0.769
2023-2024,LAK,Cam Talbot,3,0.6
2023-2024,LAK,David Rittich,2,0.4
2023-2024,VGK,Adin Hill,3,0.429
2023-2024,VGK,Logan Thompson,4,0.571
2022-2023,BOS,Linus Ullmark,6,0.857
2022-2023,BOS,Jeremy Swayman,1,0.143
2022-2023,CAR,Frederik Andersen,9,0.6
2022-2023,CAR,Antti Raanta,6,0.4
2022-2023,NJD,Vitek Vanecek,4,0.333
2022-2023,NJD,Akira Schmid,8,0.667
2022-2023,NYR,Igor Shesterkin,7,1.0
2022-2023,TOR,Ilya Samsonov,9,0.818
2022-2023,TOR,Joseph Woll,2,0.182
2022-2023,TBL,Andrei Vasilevskiy,6,1.0
2022-2023,FLA,Sergei Bobrovsky,18,0.857
2022-2023,FLA,Alex Lyon,3,0.143
2022-2023,NYI,Ilya Sorokin,6,1.0
2022-2023,VGK,Laurent Brossoit,8,0.364
2022-2023,VGK,Adin Hill,14,0.636
2022-2023,EDM,Stuart Skinner,12,1.0
