season,date,gid,phase,away,home,away_1p,home_1p,total_1p,u25,ft,et_hour,dow,weekend,away_rest,home_rest,away_r5,home_r5,away_r15_n,home_r15_n,away_r15,home_r15,comb_r5_pct,comb_r15_pct,home_venue_r10,away_road_r10,env_1p_goals,env_1p_sog,env_1p_xg,h2h_last_u25,away_goalie,home_goalie,away_goalie_cls,home_goalie_cls,goalie_pair,total_line,espn_total,espn_books,espn_span
2022,2022-10-07,2022020001,reg,SJS,NSH,1,1,2,1,5,14.0,4,0,,,,,0,0,0,0,,,,,,,,,reimer,saros,,,,,5.5,14,0.5
2022,2022-10-08,2022020002,reg,NSH,SJS,0,1,1,1,5,14.0,5,1,1,1,,,1,1,1,1,,,,,2.0,24.0,2.0376,1,lankinen,kahkonen,,,,,6.0,14,1.0
2022,2022-10-11,2022020003,reg,TBL,NYR,0,0,0,1,4,19.5,1,0,,,,,0,0,0,0,,,,,,,,,vasilevskiy,shesterkin,,,,,5.5,13,0.0
2022,2022-10-11,2022020004,reg,VGK,LAK,0,1,1,1,7,22.0,1,0,,,,,0,0,0,0,,,,,,,,,thompson,quick,,,,,6.0,13,1.0
2022,2022-10-12,2022020005,reg,BOS,WSH,2,0,2,1,7,19.0,2,0,,,,,0,0,0,0,,,,,,,,,ullmark,kuemper,,,,,6.0,13,1.0
2022,2022-10-12,2022020006,reg,CBJ,CAR,0,0,0,1,5,19.0,2,0,,,,,0,0,0,0,,,,,,,,,tarasov,andersen,,,,,6.5,13,1.0
2022,2022-10-12,2022020007,reg,TOR,MTL,1,0,1,1,7,19.0,2,0,,,,,0,0,0,0,,,,,,,,,murray,allen,,,,,6.5,12,1.5
2022,2022-10-12,2022020008,reg,CHI,COL,1,2,3,0,7,21.5,2,0,,,,,0,0,0,0,,,,,,,,,mrazek,georgiev,,,,,6.5,13,1.0
2022,2022-10-12,2022020009,reg,SEA,ANA,1,1,2,1,9,22.0,2,0,,,,,0,0,0,0,,,,,,,,,grubauer,gibson,,,,,5.5,13,0.5
2022,2022-10-12,2022020010,reg,VAN,EDM,2,0,2,1,8,22.0,2,0,,,,,0,0,0,0,,,,,,,,,demko,campbell,,,,,6.5,13,1.0
2022,2022-10-13,2022020011,reg,UTA,PIT,0,3,3,0,8,19.0,3,0,,,,,0,0,0,0,,,,,,,,,vejmelka,jarry,,,,,6.5,13,1.0
2022,2022-10-13,2022020012,reg,NJD,PHI,1,1,2,1,7,19.0,3,0,,,,,0,0,0,0,,,,,,,,,blackwood,hart,,,,,6.0,13,1.0
2022,2022-10-13,2022020013,reg,OTT,BUF,1,0,1,1,5,19.0,3,0,,,,,0,0,0,0,,,,,,,,,forsberg,anderson,,,,,6.5,13,1.0
2022,2022-10-13,2022020014,reg,FLA,NYI,0,0,0,1,4,19.5,3,0,,,,,0,0,0,0,,,,,,,,,bobrovsky,sorokin,,,,,6.0,13,1.0
2022,2022-10-13,2022020015,reg,WSH,TOR,2,1,3,0,5,19.5,3,0,1,1,,,1,1,1,1,,,,,1.5,21.5,1.6254,,lindgren,samsonov,,,,,6.5,13,1.5
2022,2022-10-13,2022020016,reg,DAL,NSH,2,0,2,1,5,20.5,3,0,,5,,,0,2,0,2,,,,,,,,,oettinger,saros,,,,,5.5,13,0.0
2022,2022-10-13,2022020017,reg,NYR,MIN,3,0,3,0,10,20.0,3,0,2,,,,1,0,1,0,,,,,,,,,shesterkin,fleury,,,,,6.0,13,0.5
2022,2022-10-13,2022020018,reg,COL,CGY,1,1,2,1,8,21.5,3,0,1,,,,1,0,0,0,,,,,,,,,francouz,markstrom,,,,,6.5,13,1.0
2022,2022-10-13,2022020019,reg,CHI,VGK,0,0,0,1,1,22.0,3,0,1,2,,,1,1,0,1,,,,,2.0,19.5,1.9022,,stalock,thompson,,,,,6.5,13,1.0
2022,2022-10-13,2022020020,reg,SEA,LAK,1,1,2,1,5,22.5,3,0,1,2,,,1,1,1,1,,,,,1.5,26.5,2.4827,,jones,quick,,,,,6.0,13,1.0
2022,2022-10-14,2022020021,reg,TBL,CBJ,3,2,5,0,7,19.0,4,0,3,2,,,1,1,1,1,,,,,0.0,21.0,1.7484,,vasilevskiy,tarasov,,,,,6.0,13,1.0
2022,2022-10-14,2022020022,reg,MTL,DET,0,0,0,1,3,19.0,4,0,2,,,,1,0,1,0,,,,,,,,,allen,husso,,,,,6.5,12,1.0
2022,2022-10-14,2022020023,reg,NYR,WPG,0,1,1,1,5,20.0,4,0,1,,,,2,0,1,0,,,,,,,,,halak,hellebuyck,,,,,6.5,13,1.0
2022,2022-10-14,2022020024,reg,CAR,SJS,0,1,1,1,3,22.5,4,0,2,6,,,1,2,1,2,,,,,0.75,20.5,1.4868,,raanta,reimer,,,,,6.0,13,1.0
2022,2022-10-15,2022020025,reg,FLA,BUF,2,2,4,0,7,13.0,5,1,2,2,,,1,1,1,1,,,,,0.5,25.5,1.9709,,knight,comrie,,,,,7.0,13,2.0
2022,2022-10-15,2022020026,reg,VAN,PHI,2,0,2,1,5,16.0,5,1,3,2,,,1,1,1,1,,,,,2.0,20.0,1.8376,,demko,hart,,,,,6.0,13,1.0
2022,2022-10-15,2022020027,reg,UTA,BOS,0,2,2,1,9,19.0,5,1,2,3,,,1,1,0,1,,,,,2.5,23.5,2.1848,,vejmelka,swayman,,,,,6.5,13,1.0
2022,2022-10-15,2022020028,reg,DET,NJD,0,1,1,1,7,19.0,5,1,1,2,,,1,1,1,1,,,,,1.0,26.5,2.9597,,nedeljkovic,vanecek,,,,,6.5,13,1.0
2022,2022-10-15,2022020029,reg,MTL,WSH,0,0,0,1,4,19.0,5,1,1,2,,,2,2,2,1,,,,,1.5,27.5,2.4531,,montembeault,kuemper,,,,,6.5,13,1.0
2022,2022-10-15,2022020030,reg,OTT,TOR,1,0,1,1,5,19.0,5,1,2,2,,,1,2,1,1,,,,,1.5,24.5,1.581,,forsberg,samsonov,,,,,6.5,13,1.5
2022,2022-10-15,2022020031,reg,TBL,PIT,1,1,2,1,8,19.0,5,1,1,2,,,2,1,1,0,,,,,2.75,21.25,2.4642,,elliott,jarry,,,,,6.5,12,1.0
2022,2022-10-15,2022020032,reg,ANA,NYI,0,2,2,1,8,19.5,5,1,3,2,,,1,1,1,1,,,,,1.0,28.0,2.7078,,gibson,sorokin,,,,,5.5,13,0.0
2022,2022-10-15,2022020033,reg,CBJ,STL,0,1,1,1,7,20.0,5,1,1,,,,2,0,1,0,,,,,,,,,merzlikins,binnington,,,,,6.5,13,1.0
2022,2022-10-15,2022020034,reg,LAK,MIN,4,2,6,0,13,20.0,5,1,2,2,,,2,1,2,0,,,,,2.25,21.0,2.3144,,petersen,fleury,,,,,6.0,13,0.5
2022,2022-10-15,2022020035,reg,NSH,DAL,0,1,1,1,6,20.0,5,1,2,2,,,3,1,3,1,,,,,1.833,21.0,2.0013,1,saros,oettinger,,,,,5.5,13,0.5
2022,2022-10-15,2022020036,reg,CGY,EDM,4,1,5,0,7,22.0,5,1,2,3,,,1,1,1,1,,,,,2.0,19.5,1.614,,vladar,campbell,,,,,6.5,13,1.5
2022,2022-10-15,2022020037,reg,VGK,SEA,2,0,2,1,7,22.0,5,1,2,2,,,2,2,2,2,,,,,1.25,21.75,2.0978,,hill,jones,,,,,6.5,13,1.0
2022,2022-10-15,2022020038,reg,CHI,SJS,0,2,2,1,7,22.0,5,1,2,1,,,2,3,1,3,,,,,1.417,18.25,1.648,,mrazek,kahkonen,,,,,6.0,13,0.5
2022,2022-10-17,2022020039,reg,ANA,NYR,1,2,3,0,10,19.0,0,0,2,3,,,2,3,2,2,,,,,1.667,23.84,2.4684,,gibson,shesterkin,,,,,6.0,12,0.5
2022,2022-10-17,2022020040,reg,UTA,TOR,1,0,1,1,6,19.0,0,0,2,2,,,2,3,1,2,,,,,2.083,21.0,2.0442,,vejmelka,kallgren,,,,,7.0,12,1.5
